# x erf(x) gamma(x) lngamma(x)
-2.950000e+00 -9.999698e-01 -3.562769e+00 nan
-2.900000e+00 -9.999589e-01 -1.918433e+00 nan
-2.850000e+00 -9.999443e-01 -1.387950e+00 nan
-2.800000e+00 -9.999250e-01 -1.138602e+00 nan
-2.750000e+00 -9.998993e-01 -1.004498e+00 nan
-2.700000e+00 -9.998656e-01 -9.310828e-01 nan
-2.650000e+00 -9.998215e-01 -8.958603e-01 nan
-2.600000e+00 -9.997639e-01 -8.886857e-01 nan
-2.550000e+00 -9.996893e-01 -9.053586e-01 nan
-2.500000e+00 -9.995930e-01 -9.453087e-01 nan
-2.450000e+00 -9.994693e-01 -1.010946e+00 nan
-2.400000e+00 -9.993114e-01 -1.108030e+00 nan
-2.350000e+00 -9.991106e-01 -1.247142e+00 nan
-2.300000e+00 -9.988567e-01 -1.447107e+00 nan
-2.250000e+00 -9.985372e-01 -1.742815e+00 nan
-2.200000e+00 -9.981370e-01 -2.204981e+00 nan
-2.150000e+00 -9.976385e-01 -2.999619e+00 nan
-2.100000e+00 -9.970204e-01 -4.626098e+00 nan
-2.050000e+00 -9.962580e-01 -9.583771e+00 nan
-1.950000e+00 -9.941792e-01 1.051017e+01 nan
-1.900000e+00 -9.927903e-01 5.563455e+00 nan
-1.850000e+00 -9.911110e-01 3.955658e+00 nan
-1.800000e+00 -9.890905e-01 3.188086e+00 nan
-1.750000e+00 -9.866717e-01 2.762369e+00 nan
-1.700000e+00 -9.837905e-01 2.513924e+00 nan
-1.650000e+00 -9.803756e-01 2.374030e+00 nan
-1.600000e+00 -9.763485e-01 2.310583e+00 nan
-1.550000e+00 -9.716228e-01 2.308664e+00 nan
-1.500000e+00 -9.661053e-01 2.363272e+00 nan
-1.450000e+00 -9.596952e-01 2.476819e+00 nan
-1.400000e+00 -9.522853e-01 2.659272e+00 nan
-1.350000e+00 -9.437623e-01 2.930783e+00 nan
-1.300000e+00 -9.340081e-01 3.328347e+00 nan
-1.250000e+00 -9.229002e-01 3.921333e+00 nan
-1.200000e+00 -9.103140e-01 4.850957e+00 nan
-1.150000e+00 -8.961239e-01 6.449181e+00 nan
-1.100000e+00 -8.802050e-01 9.714806e+00 nan
-1.050000e+00 -8.624360e-01 1.964673e+01 nan
-9.500000e-01 -8.208907e-01 -2.049483e+01 nan
-9.000000e-01 -7.969081e-01 -1.057056e+01 nan
-8.500000e-01 -7.706679e-01 -7.317968e+00 nan
-8.000000e-01 -7.421009e-01 -5.738555e+00 nan
-7.500000e-01 -7.111556e-01 -4.834147e+00 nan
-7.000000e-01 -6.778012e-01 -4.273670e+00 nan
-6.500000e-01 -6.420294e-01 -3.917149e+00 nan
-6.000000e-01 -6.038562e-01 -3.696933e+00 nan
